iter	Logloss
0	0.5734001288
1	0.483200964
2	0.4137740486
3	0.366013205
4	0.330163653
5	0.2986484416
6	0.2730404917
7	0.2546432894
8	0.2386740395
9	0.2257414794
10	0.2155303669
11	0.2057809704
12	0.2000978827
13	0.1945988525
14	0.1891121447
15	0.1832130375
16	0.1794399028
17	0.1729184814
18	0.1674957356
19	0.1635509947
20	0.1602295264
21	0.1569698807
22	0.1539318389
23	0.1507896214
24	0.1480246594
25	0.1444886066
26	0.140365684
27	0.136486486
28	0.1333159153
29	0.1309515122
30	0.1280612798
31	0.125082732
32	0.1227004547
33	0.1198868171
34	0.1175855317
35	0.1154173931
36	0.1132119156
37	0.1114426215
38	0.1076120122
39	0.1060864059
40	0.1038712915
41	0.1024061181
42	0.1003352293
43	0.09865715633
44	0.09709694352
45	0.09501878352
46	0.09223607587
47	0.09025543133
48	0.08901540306
49	0.08779023504
50	0.08646669681
51	0.08507482272
52	0.08411224106
53	0.08300493773
54	0.08166107008
55	0.08033784968
56	0.07920079768
57	0.07727167708
58	0.07468853476
59	0.07378978073
60	0.07246674513
61	0.07172695316
62	0.07014716787
63	0.06913107139
64	0.06810655864
65	0.06698697666
66	0.06562083299
67	0.06498170873
68	0.06392846135
69	0.06326174224
70	0.06289245428
71	0.06231608522
72	0.06120836374
73	0.06004423108
74	0.05903834136
75	0.058599397
76	0.05788206603
77	0.05679404678
78	0.05644167832
79	0.05563352558
80	0.05479362311
81	0.05371212067
82	0.05308375313
83	0.05258271952
84	0.05222080054
85	0.05152128743
86	0.05077080981
87	0.05007229419
88	0.04930082354
89	0.0485950047
90	0.04771746253
91	0.04708593364
92	0.04631343962
93	0.04581540381
94	0.04560471659
95	0.04492373155
96	0.04420074211
97	0.0434781905
98	0.04291129285
99	0.04220517948
100	0.04168957325
101	0.04119218858
102	0.04067570217
103	0.04023509042
104	0.03961344143
105	0.03912462195
106	0.03900333434
107	0.0385676176
108	0.03794678261
109	0.03744389578
110	0.03703719141
111	0.03659191706
112	0.03640433948
113	0.03589138515
114	0.0355604248
115	0.03525370857
116	0.03510845301
117	0.03454105445
118	0.03424004362
119	0.03370630138
120	0.03320873858
121	0.03291942531
122	0.03234533769
123	0.03215235495
124	0.03180385456
125	0.03153930284
126	0.03130764431
127	0.03101411779
128	0.03065731174
129	0.03026904362
130	0.02996428043
131	0.02969862882
132	0.02937089805
133	0.02903995363
134	0.02885839182
135	0.02865532552
136	0.02858748028
137	0.0283648875
138	0.02806620805
139	0.02766406784
140	0.02736253259
141	0.02713648129
142	0.02701570649
143	0.02670683998
144	0.02636223048
145	0.02615367436
146	0.02564634553
147	0.02537895613
148	0.02505689983
149	0.02488271844
150	0.02457549854
151	0.02433239342
152	0.02419056723
153	0.02393420128
154	0.02377820952
155	0.02345963348
156	0.02332414679
157	0.02317129835
158	0.02291201476
159	0.02279717458
160	0.02257914663
161	0.02233224147
162	0.02208334204
163	0.02186759003
164	0.02177031244
165	0.02166352461
166	0.02157597224
167	0.02127534922
168	0.0210558291
169	0.02089217768
170	0.02068311981
171	0.02060897373
172	0.02051627291
173	0.02043890529
174	0.0203287245
175	0.02016167595
176	0.02004833436
177	0.01999733339
178	0.01975017035
179	0.01971785024
180	0.01964970092
181	0.01950054256
182	0.01924850757
183	0.0190694793
184	0.01899876479
185	0.01883385956
186	0.0186126809
187	0.01846088446
188	0.01834453241
189	0.01818581308
190	0.01817090471
191	0.01809108832
192	0.01797090123
193	0.01788018772
194	0.01784209947
195	0.01767696707
196	0.01754033987
197	0.01734486758
198	0.0172301003
199	0.01711775229
200	0.0169423223
201	0.01672611431
202	0.01658764251
203	0.01647032564
204	0.01626694947
205	0.01609191101
206	0.01589057282
207	0.01579007542
208	0.01576495854
209	0.01570962482
210	0.01562060115
211	0.0154547787
212	0.01541787061
213	0.01528064248
214	0.01519753691
215	0.0151036134
216	0.0149924713
217	0.014862597
218	0.01466783034
219	0.01460716355
220	0.01459637328
221	0.01457627894
222	0.01452316977
223	0.01443115618
224	0.01437240497
225	0.01433741465
226	0.01432178363
227	0.01420637835
228	0.01407523236
229	0.01401734284
230	0.01391084176
231	0.01379053201
232	0.01377976914
233	0.01373368947
234	0.01364344672
235	0.0135618577
236	0.01349383402
237	0.01334037488
238	0.01320208596
239	0.01307416244
240	0.01306026781
241	0.01302285785
242	0.01299486553
243	0.01288678173
244	0.01286187635
245	0.01285212213
246	0.01277704136
247	0.01271095566
248	0.01266705873
249	0.01261951241
250	0.0126082701
251	0.01252224246
252	0.01245233852
253	0.01243643918
254	0.01234228244
255	0.01228455664
256	0.01220537918
257	0.012190992
258	0.01209314916
259	0.01205312755
260	0.01202524517
261	0.01199417225
262	0.01188671609
263	0.01179417246
264	0.01171661685
265	0.01166043687
266	0.0116097886
267	0.01153203948
268	0.01143771145
269	0.01132947765
270	0.01119979075
271	0.01110472368
272	0.01104383764
273	0.01103250613
274	0.01093749196
275	0.01092970887
276	0.01085740147
277	0.01083104003
278	0.0108156428
279	0.01074854204
280	0.01074249246
281	0.01072149274
282	0.01063688595
283	0.01058126524
284	0.01056078564
285	0.01054121104
286	0.01049951803
287	0.0104306712
288	0.0103642211
289	0.01034890869
290	0.01025522464
291	0.0102314566
292	0.01015439259
293	0.01013166162
294	0.01012593232
295	0.01006916353
296	0.01005727108
297	0.01002174829
298	0.01000481428
299	0.009914674008
300	0.009843571982
301	0.00977133833
302	0.009750670454
303	0.009709230471
304	0.0096954082
305	0.009687088327
306	0.00961970071
307	0.009615995271
308	0.009602203338
309	0.009569500632
310	0.009516333185
311	0.009451327166
312	0.009378906475
313	0.009331200902
314	0.009293007094
315	0.009225178322
316	0.009167008633
317	0.009150243795
318	0.009088093606
319	0.009072071512
320	0.009025705803
321	0.008943775756
322	0.008855256628
323	0.008802204974
324	0.008749285595
325	0.00874111994
326	0.008697609491
327	0.008673465696
328	0.008627743712
329	0.008572660686
330	0.0085654111
331	0.008545649368
332	0.008495808353
333	0.008408886814
334	0.008379592448
335	0.008372954502
336	0.00836481833
337	0.008343560041
338	0.00833423059
339	0.008287338631
340	0.008218709638
341	0.008184685969
342	0.008092274346
343	0.008079353032
344	0.008039516448
345	0.008002811589
346	0.007986504997
347	0.007956867064
348	0.007880336956
349	0.007868989058
350	0.007858533398
351	0.007823935934
352	0.007811139694
353	0.007758103298
354	0.007724984285
355	0.007708197561
356	0.007699176945
357	0.007661037214
358	0.007656227912
359	0.007637043165
360	0.007602530628
361	0.007580108746
362	0.007551923039
363	0.007542838624
364	0.007521575434
365	0.007512457557
366	0.00746500288
367	0.007418398263
368	0.007345124913
369	0.007338359428
370	0.007329827765
371	0.00731145386
372	0.007293207058
373	0.007240049036
374	0.007200416179
375	0.007168117885
376	0.007163667664
377	0.007144966056
378	0.0071212146
379	0.007106894191
380	0.007092990411
381	0.007084986347
382	0.007061454515
383	0.007041523326
384	0.007009703838
385	0.006991580414
386	0.00694241375
387	0.006908809454
388	0.006853451216
389	0.006849651543
390	0.006801994797
391	0.006746879884
392	0.006734930201
393	0.00669950459
394	0.006680046155
395	0.006676142123
396	0.006670745163
397	0.006656653999
398	0.006633123607
399	0.006575846523
400	0.00656272795
401	0.006552069852
402	0.006527807956
403	0.006472285646
404	0.006440842976
405	0.006390853695
406	0.006387636065
407	0.006331253663
408	0.006316024241
409	0.006255911193
410	0.006234632327
411	0.00619235205
412	0.006187934079
413	0.006172349494
414	0.00617232826
415	0.00617232826
416	0.006172317829
417	0.006172296959
418	0.006172296959
419	0.006166601554
420	0.006156620013
421	0.006142144145
422	0.006089887713
423	0.006089887713
424	0.006079544313
425	0.006071950447
426	0.00604897997
427	0.00600024104
428	0.005966683735
429	0.00592956075
430	0.005922053218
431	0.005887512682
432	0.005878057125
433	0.005865799757
434	0.005831437724
435	0.00582252912
436	0.005776197911
437	0.005768693703
438	0.005763178425
439	0.005727889698
440	0.005711149055
441	0.005691440738
442	0.005676717685
443	0.005657125248
444	0.005657121932
445	0.005595573759
446	0.005589705312
447	0.005560299602
448	0.005512602701
449	0.005482437817
450	0.005473388882
451	0.005437164086
452	0.005423798416
453	0.005394344277
454	0.005388640324
455	0.005371672866
456	0.005338190004
457	0.005305184682
458	0.00528149379
459	0.005234387518
460	0.005192063559
461	0.005185687816
462	0.005152351618
463	0.005142946181
